"link","headline","category","short_description","authors","date"
"https://www.huffpost.com/entry/covid-boosters-uptake-us_n_632d719ee4b087fae6feaac9","Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters","U.S. NEWS","Health experts said it is too early to predict whether demand would match up with the 171 million doses of the new boosters the U.S. ordered for the fall.","Carla K. Johnson, AP","2022-09-23"
"https://www.huffpost.com/entry/american-airlines-passenger-banned-flight-attendant-punch-justice-department_n_632e25d3e4b0e247890329fe","American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video","U.S. NEWS","He was subdued by passengers and crew when he fled to the back of the aircraft after the confrontation, according to the U.S. attorney's office in Los Angeles.","Mary Papenfuss","2022-09-23"
"https://www.huffpost.com/entry/funniest-tweets-cats-dogs-september-17-23_n_632de332e4b0695c1d81dc02","23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23)","COMEDY","""Until you have a dog you don't understand what could be eaten.""","Elyse Wanshel","2022-09-23"
"https://www.huffpost.com/entry/funniest-parenting-tweets_l_632d7d15e4b0d12b5403e479","The Funniest Tweets From Parents This Week (Sept. 17-23)","PARENTING","""Accidentally put grown-up toothpaste on my toddler’s toothbrush and he screamed like I was cleaning his teeth with a Carolina Reaper dipped in Tabasco sauce.""","Caroline Bologna","2022-09-23"
"https://www.huffpost.com/entry/amy-cooper-loses-discrimination-lawsuit-franklin-templeton_n_632c6463e4b09d8701bd227e","Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer","U.S. NEWS","Amy Cooper accused investment firm Franklin Templeton of unfairly firing her and branding her a racist after video of the Central Park encounter went viral.","Nina Golgowski","2022-09-22"
"https://www.huffpost.com/entry/belk-worker-found-dead-columbiana-centre-bathroom_n_632c5f8ce4b0572027b0251d","Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police","U.S. NEWS","The 63-year-old woman was seen working at the South Carolina store on Thursday. She was found dead Monday after her family reported her missing, authorities said.","","2022-09-22"
"https://www.huffpost.com/entry/reporter-gets-adorable-surprise-from-her-boyfriend-while-working-live-on-tv_n_632ccf43e4b0572027b10d74","Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV","U.S. NEWS","""Who's that behind you?"" an anchor for New York’s PIX11 asked journalist Michelle Ross as she finished up an interview.","Elyse Wanshel","2022-09-22"
"https://www.huffpost.com/entry/puerto-rico-water-hurricane-fiona_n_632bdfd8e4b0d12b54014e13","Puerto Ricans Desperate For Water After Hurricane Fiona’s Rampage","WORLD NEWS","More than half a million people remained without water service three days after the storm lashed the U.S. territory.","DÁNICA COTO, AP","2022-09-22"
"https://www.huffpost.com/entry/mija-documentary-immigration-isabel-castro-interview_n_632329aee4b000d98858dbda","How A New Documentary Captures The Complexity Of Being A Child Of Immigrants","CULTURE & ARTS","In ""Mija,"" director Isabel Castro combined music documentaries with the style of ""Euphoria"" and ""Clueless"" to tell a more nuanced immigration story.","Marina Fang","2022-09-22"
"https://www.huffpost.com/entry/biden-un-russian-war-an-affront-to-bodys-charter_n_632ad9e3e4b0bfdf5e1bf5f7","Biden At UN To Call Russian War An Affront To Body's Charter","WORLD NEWS","White House officials say the crux of the president's visit to the U.N. this year will be a full-throated condemnation of Russia and its brutal war.","Aamer Madhani, AP","2022-09-21"
"https://www.huffpost.com/entry/bc-soc-wcup-captains-armbands_n_632b1c98e4b0913a3dd7554a","World Cup Captains Want To Wear Rainbow Armbands In Qatar","WORLD NEWS","FIFA has come under pressure from several European soccer federations who want to support a human rights campaign against discrimination at the World Cup.","GRAHAM DUNBAR, AP","2022-09-21"
"https://www.huffpost.com/entry/man-sets-fire-protest-abe-funeral_n_632ae462e4b07198f0146afd","Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe","WORLD NEWS","The incident underscores a growing wave of protests against the funeral for Shinzo Abe, who was one of the most divisive leaders in postwar Japanese politics.","Mari Yamaguchi, AP","2022-09-21"
"https://www.huffpost.com/entry/fiona-threatens-to-become-category-4-storm-headed-to-bermuda_n_632ad1cae4b07198f0143244","Fiona Threatens To Become Category 4 Storm Headed To Bermuda","WORLD NEWS","Hurricane Fiona lashed the Turks and Caicos Islands and was forecast to squeeze past Bermuda later this week.","Dánica Coto, AP","2022-09-21"
